Task,Method,SelectedBudget,Selections,Frequency
TRB,Lasso,10,70,0.28
TRB,LongGroupLasso,3,51,0.204
TRB,LongGroupLasso,5,77,0.308
TRB,LongGroupLasso,10,122,0.488
TRB,MutualInfo,3,74,0.296
TRB,MutualInfo,5,61,0.244
TRB,MutualInfo,10,115,0.46
TRB,OutcomeSNN-FS,3,90,0.36
TRB,OutcomeSNN-FS,5,77,0.308
TRB,OutcomeSNN-FS,10,83,0.332
TRB,PGEE,3,42,0.168
TRB,PGEE,5,43,0.172
TRB,PGEE,10,165,0.66
TRB,RandomForest,3,80,0.32
TRB,RandomForest,5,72,0.288
TRB,RandomForest,10,98,0.392
TRB,SNN-FS,3,111,0.444
TRB,SNN-FS,5,77,0.308
TRB,SNN-FS,10,62,0.248
TRB,StabilitySelection,3,91,0.364
TRB,StabilitySelection,5,83,0.332
TRB,StabilitySelection,10,76,0.304
TRB,Stabl-RP,3,56,0.224
TRB,Stabl-RP,5,75,0.3
TRB,Stabl-RP,10,119,0.476
TRB,geeVerse,3,14,0.056
TRB,geeVerse,5,48,0.192
TRB,geeVerse,10,188,0.752
TRB,glmmLasso,3,56,0.224
TRB,glmmLasso,5,53,0.212
TRB,glmmLasso,10,141,0.564
TRB,mRMR,3,59,0.236
TRB,mRMR,5,60,0.24
TRB,mRMR,10,131,0.524
