Task,TaskType,Method,SelectedPanelSize,Metric,Mean,SD,OuterFolds,EvidenceLevel
GSE41848_MS,classification,SNN-FS,10,AUROC,0.8356403383815665,0.09460133719800912,114,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,StabilitySelection,3,AUROC,0.8086882846498231,0.08937507137499406,91,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,StabilitySelection,5,AUROC,0.8062534463744142,0.09698857729683179,62,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,StabilitySelection,10,AUROC,0.8085605927100773,0.08917914935134645,97,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Stabl-RP,3,AUROC,0.7945671098448878,0.08663153028120077,45,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Stabl-RP,5,AUROC,0.8024750712250712,0.09790095625843334,65,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,Stabl-RP,10,AUROC,0.8196155118030118,0.09620277251560046,140,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,glmmLasso,3,AUROC,0.8026161724078391,0.10542864598858764,66,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,glmmLasso,5,AUROC,0.8469778224680186,0.09234415951812205,51,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,glmmLasso,10,AUROC,0.824658467750573,0.09472620958447187,133,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,mRMR,3,AUROC,0.8040857574848803,0.09637079360086513,57,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,mRMR,5,AUROC,0.8192298935126804,0.11245315364741303,61,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41848_MS,classification,mRMR,10,AUROC,0.8517243751618752,0.09293133188884721,132,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Boruta,3,AUROC,0.7658503401360544,0.13543915302576137,49,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Boruta,5,AUROC,0.7755913978494624,0.1499432487586127,62,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Boruta,10,AUROC,0.7788968824940049,0.14656913121017365,139,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,ElasticNet,3,AUROC,0.5992982456140351,0.16313245280926042,57,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,ElasticNet,5,AUROC,0.6169398907103826,0.17631442356280486,61,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,ElasticNet,10,AUROC,0.6114141414141415,0.14144901478951,132,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,LLSS,3,AUROC,0.7916666666666665,0.13611373052448628,88,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,LLSS,5,AUROC,0.7966666666666665,0.1391891864680214,76,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,LLSS,10,AUROC,0.8155038759689922,0.12381492349033606,86,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Lasso,3,AUROC,0.6060317460317459,0.15990012243630689,63,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Lasso,5,AUROC,0.6079781420765026,0.15221242306885005,61,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,Lasso,10,AUROC,0.6635978835978834,0.15106766882550982,126,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
GSE41849_MS,classification,LongGroupLasso,3,AUROC,0.7219047619047619,0.15548004036053484,35,outer test conditional on the inner-selected panel size; not a fixed-budget experiment
