Task,Dataset,Cohort,TaskType,Method,Budget,MeanJaccard,SDJaccard,MedianJaccard,MinJaccard,MaxJaccard,PairCount,Repeats,Folds
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Stabl-RP,10,0.32889817898451246,0.1456674413663071,0.3333333333333333,0.0,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,Lasso,10,0.32784152989867277,0.1455956850562263,0.3,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,OutcomeSNN-FS,10,0.3182830675526954,0.14501823854118367,0.3,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,StabilitySelection,10,0.31398488410349157,0.1475300399113402,0.3,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,ElasticNet,10,0.2982722716792345,0.14910218191881883,0.25,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,SNN-FS,10,0.2949020937179401,0.13217170265070963,0.3,0.07142857142857142,1.0,6125,50,5
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MutualInfo,10,0.17118359454688512,0.11184674375009045,0.17647058823529413,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LLSS,3,0.3260408163265306,0.21768499111172085,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LongGroupLasso,3,0.2334530612244898,0.20071535512023522,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,StabilitySelection,3,0.23000816326530615,0.18239126642441736,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,mRMR,3,0.20422857142857145,0.1972460955448989,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,OutcomeSNN-FS,3,0.1723265306122449,0.17992820386615757,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,ElasticNet,3,0.16240000000000002,0.1652100774559806,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MutualInfo,3,0.14922448979591837,0.15114888581669006,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Stabl-RP,3,0.14311836734693878,0.1662012854150774,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Lasso,3,0.13609795918367346,0.15091098354663057,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,RandomForest,3,0.12899591836734695,0.15579924198907247,0.2,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,SNN-FS,3,0.09217959183673467,0.1355224320786128,0.0,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Boruta,3,0.07417142857142857,0.12157382921648575,0.0,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LLSS,5,0.3256791707159054,0.17427902067422762,0.3333333333333333,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LongGroupLasso,5,0.3132248785228377,0.17493723945187054,0.25,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,mRMR,5,0.24130029154518948,0.1609888785780858,0.25,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,StabilitySelection,5,0.2247527048914804,0.13823198683630628,0.25,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,OutcomeSNN-FS,5,0.2030844185293165,0.1527156535794253,0.14285714285714285,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Stabl-RP,5,0.1797516034985423,0.1457284705010001,0.14285714285714285,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,ElasticNet,5,0.17229841269841267,0.13391962906690505,0.14285714285714285,0.0,1.0,6125,50,5
