Scope,TaskType,Metric,MethodA,MethodB,MeanDifference_AminusB_oriented,MedianDifference_AminusB_oriented,NPairedRepeats,PValue,PValueHolmWithinTask
FPG,regression,RMSE,ElasticNet,Stabl-RP,-0.1903279177695159,-0.17152843576294785,50,5.951474850718341e-07,2.7971931798376204e-05
FPG,regression,RMSE,ElasticNet,LongGroupLasso,-0.09398523469981854,-0.10847339190907412,50,0.0027053239960554976,0.07304374789349843
FPG,regression,RMSE,ElasticNet,LLSS,-0.1578609185093862,-0.17832349751050813,50,2.4281497463363166e-05,0.0009226969036078003
FPG,regression,RMSE,ElasticNet,RandomForest,-0.011488614729509194,-0.018910622060708704,50,0.8632650227005474,1.0
FPG,regression,RMSE,ElasticNet,MutualInfo,0.05790446141462198,0.05943769803634247,50,0.18444897927691706,1.0
FPG,regression,RMSE,ElasticNet,Boruta,-0.024324888115085982,-0.03528758708765345,50,0.3988547028530327,1.0
FPG,regression,RMSE,ElasticNet,mRMR,0.17593578647837105,0.17948414889983866,50,2.36936675790389e-06,9.951340383196339e-05
FPG,regression,RMSE,ElasticNet,SNN-FS,0.10434738034726657,0.0718750932765424,50,0.004043947968749961,0.10109869921874903
FPG,regression,RMSE,ElasticNet,OutcomeSNN-FS,0.050087663672579975,0.06897871148058243,50,0.17191424676435396,1.0
FPG,regression,RMSE,ElasticNet,geeVerse,2.2759689334425968,2.301504723035464,50,1.2434497875801753e-14,9.947598300641403e-13
FPG,regression,RMSE,ElasticNet,glmmLasso,-0.12908060216354741,-0.13440794452351668,50,3.457260659445183e-05,0.0012791864439947176
FPG,regression,RMSE,ElasticNet,PGEE,0.12440295707896042,0.11289432412535483,50,0.00021178724761483636,0.0067771919236747635
FPG,regression,RMSE,StabilitySelection,Stabl-RP,-3.781852717752873,-3.7817573470998394,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,LongGroupLasso,-3.6855100346831757,-3.697574469329778,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,LLSS,-3.749385718492743,-3.7745205012295475,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,RandomForest,-3.603013414712866,-3.6283498880521865,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,MutualInfo,-3.533620338568735,-3.541602685156736,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,Boruta,-3.6158496880984425,-3.633820967569104,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,mRMR,-3.4155890135049862,-3.38836188110772,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,SNN-FS,-3.48717741963609,-3.4654841945138735,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,OutcomeSNN-FS,-3.5414371363107775,-3.538681100915051,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,geeVerse,-1.3155558665407603,-1.380177574049263,50,8.403119267086367e-08,4.201559633543184e-06
FPG,regression,RMSE,StabilitySelection,glmmLasso,-3.720605402146904,-3.681718464876276,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,StabilitySelection,PGEE,-3.4671218429043966,-3.4084692856723127,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,Stabl-RP,LongGroupLasso,0.09634268306969737,0.1018330129538576,50,2.0039570713947796e-07,9.81938964983442e-06
FPG,regression,RMSE,Stabl-RP,LLSS,0.03246699926012973,0.027247630773194587,50,0.01855822259070905,0.38972267440489006
FPG,regression,RMSE,Stabl-RP,RandomForest,0.17883930304000673,0.1611503055109189,50,2.630606843467831e-11,1.70989444825409e-09
FPG,regression,RMSE,Stabl-RP,MutualInfo,0.24823237918413787,0.2680642547519305,50,7.151434999741468e-11,4.362375349842296e-09
FPG,regression,RMSE,Stabl-RP,Boruta,0.16600302965442992,0.15914793244418846,50,5.453415496958769e-13,4.035527467749489e-11
FPG,regression,RMSE,Stabl-RP,mRMR,0.36626370424788696,0.39553111026068244,50,8.881784197001252e-15,7.460698725481052e-13
FPG,regression,RMSE,Stabl-RP,SNN-FS,0.29467529811678245,0.29698615244521775,50,1.34718902700115e-11,9.026166480907705e-10
FPG,regression,RMSE,Stabl-RP,OutcomeSNN-FS,0.24041558144209588,0.26216743549292154,50,2.0232171493717033e-10,1.1734659466355879e-08
FPG,regression,RMSE,Stabl-RP,geeVerse,2.4662968512121126,2.4170046417782416,50,1.7763568394002505e-15,1.865174681370263e-13
FPG,regression,RMSE,Stabl-RP,glmmLasso,0.061247315605968494,0.06869911429055264,50,0.0014315119741414861,0.0415138472501031
FPG,regression,RMSE,Stabl-RP,PGEE,0.31473087484847634,0.3651412369833693,50,7.65609797781508e-12,5.359268584470556e-10
FPG,regression,RMSE,LongGroupLasso,LLSS,-0.06387568380956765,-0.07620465630067841,50,0.00014903614355255002,0.0050672288807867005
FPG,regression,RMSE,LongGroupLasso,RandomForest,0.08249661997030934,0.075214638470122,50,8.784112139892386e-07,3.86500934155265e-05
